testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
ant-1.7.csv,0.476819334,0.476819334,0.574711223,0.613325221,0.610274407,0.637009953
ant-1.7.csv,0.449816653,0.449816653,0.551259156,0.667895626,0.574235195,0.653879448
ant-1.7.csv,0.449816653,0.449816653,0.55004152,0.641881713,0.558047066,0.652105945
ant-1.7.csv,0.450207104,0.450207104,0.569249372,0.48502664,0.514098246,0.663295976
ant-1.7.csv,0.443166339,0.443166339,0.539209693,0.593968479,0.496803037,0.6334344
ant-1.7.csv,0.456978936,0.456978936,0.563091052,0.599751999,0.481408046,0.644047521
ant-1.7.csv,0.464085925,0.464085925,0.60612723,0.621119987,0.594738967,0.660139356
ant-1.7.csv,0.442787999,0.442787999,0.563406601,0.615471676,0.604550342,0.646607317
ant-1.7.csv,0.442787999,0.442787999,0.578072368,0.622955719,0.554632218,0.656194375
ant-1.7.csv,0.442787999,0.442787999,0.527212926,0.571345231,0.50413938,0.644972237
ant-1.7.csv,0.442598034,0.442598034,0.550651932,0.659439558,0.650788583,0.633865349
ant-1.7.csv,0.435322009,0.435322009,0.543470295,0.656853537,0.562998229,0.65922686
ant-1.7.csv,0.442598034,0.442598034,0.543470295,0.643241282,0.55154964,0.65376573
ant-1.7.csv,0.476819334,0.476819334,0.572386425,0.551227142,0.552578562,0.644373039
ant-1.7.csv,0.42852277,0.42852277,0.527212926,0.600242199,0.574478966,0.654005882
ant-1.7.csv,0.449816653,0.449816653,0.604622102,0.632094592,0.575806872,0.696389678
ant-1.7.csv,0.44922688,0.449029188,0.566976926,0.573556091,0.62158869,0.616707123
ant-1.7.csv,0.442598034,0.442598034,0.55004152,0.617549711,0.622535141,0.64295333
ant-1.7.csv,0.435690378,0.435690378,0.545557871,0.578263056,0.600955753,0.656828548
ant-1.7.csv,0.455965337,0.455965337,0.577042947,0.577740322,0.563648916,0.666534067
ant-1.7.csv,0.442787999,0.442787999,0.551259156,0.59986128,0.612034092,0.616707123
ant-1.7.csv,0.442977433,0.450207104,0.568280499,0.610274407,0.574983464,0.651466579
ant-1.7.csv,0.42852277,0.42852277,0.552164066,0.623789948,0.557052427,0.669170114
ant-1.7.csv,0.470284238,0.470284238,0.563091052,0.604237375,0.622553231,0.65988719
ant-1.7.csv,0.449816653,0.45677734,0.539499037,0.579366559,0.630071834,0.671503938
ant-1.7.csv,0.442598034,0.442598034,0.532817916,0.610630408,0.563355408,0.663456838
ant-1.7.csv,0.442787999,0.442787999,0.588580066,0.627445539,0.567241379,0.637511639
ant-1.7.csv,0.470284238,0.470284238,0.573720012,0.619563589,0.586512538,0.689174535
ant-1.7.csv,0.45677734,0.45677734,0.544667903,0.554957725,0.533207428,0.645444566
ant-1.7.csv,0.477040627,0.477040627,0.600314125,0.569899159,0.563777958,0.632461226
arc-1.csv,0.310040919,0.310040919,0.407061267,0.644058451,0.584610892,0.623138603
arc-1.csv,0.360655738,0.360655738,0.568814638,0.645331117,0.593792173,0.618759019
arc-1.csv,0.310040919,0.310040919,0.531697342,0.634328358,0.559139785,0.640703518
arc-1.csv,0.360310928,0.360310928,0.568814638,0.644058451,0.552354824,0.636005626
arc-1.csv,0.310040919,0.310040919,0.406613047,0.664242424,0.644058451,0.638363458
arc-1.csv,0.360310928,0.360310928,0.568814638,0.636005626,0.601102408,0.625303095
arc-1.csv,0.310040919,0.310040919,0.406613047,0.644058451,0.625264047,0.618759019
arc-1.csv,0.310040919,0.310040919,0.360310928,0.592395325,0.524055791,0.656602747
arc-1.csv,0.310040919,0.310040919,0.406613047,0.644058451,0.635880213,0.618759019
arc-1.csv,0.310040919,0.310040919,0.531697342,0.609475032,0.634328358,0.638363458
arc-1.csv,0.310040919,0.310040919,0.360310928,0.646065101,0.621541081,0.652144129
arc-1.csv,0.310040919,0.310040919,0.406613047,0.594164456,0.606248158,0.643026005
