testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF
ant-1.7.csv,0.429754296,0.415284934,0.660541435,0.212653707,0.389785782,0.730462029
ant-1.7.csv,0.43714336,0.451747453,0.675667356,0.349108881,0.350276019,0.717356534
ant-1.7.csv,0.436602297,0.45078873,0.691905948,0.18445219,0.374341566,0.691085328
ant-1.7.csv,0.399896507,0.407541026,0.646810646,0.240009651,0.349240173,0.693892402
ant-1.7.csv,0.400199515,0.400350371,0.69432152,0.293841914,0.310008807,0.678685173
ant-1.7.csv,0.450401517,0.450595392,0.695528744,0.231919906,0.419009756,0.690428052
ant-1.7.csv,0.346323782,0.345991337,0.652871106,0.34857961,0.267704671,0.70958025
ant-1.7.csv,0.406749234,0.407067308,0.659865683,0.250533479,0.222443038,0.675792454
ant-1.7.csv,0.422305754,0.407698034,0.688798009,0.258511795,0.402441976,0.686324724
ant-1.7.csv,0.435137044,0.435322009,0.68661868,0.22308478,0.334623256,0.702495647
ant-1.7.csv,0.451173806,0.450207104,0.682526868,0.34976129,0.403126197,0.710339033
ant-1.7.csv,0.422474347,0.422810116,0.681189705,0.388541732,0.415903179,0.703565203
ant-1.7.csv,0.457779768,0.443729904,0.694944749,0.250034078,0.284606631,0.701285519
ant-1.7.csv,0.39204096,0.39204096,0.6593357,0.284858722,0.184520273,0.690889633
ant-1.7.csv,0.385115795,0.3849762,0.67598044,0.285519333,0.373911235,0.69679433
ant-1.7.csv,0.406908499,0.406749234,0.654437283,0.32519132,0.448904146,0.724828821
ant-1.7.csv,0.392625947,0.385115795,0.676900682,0.283220175,0.326650294,0.72478379
ant-1.7.csv,0.457179974,0.46325386,0.683077739,0.240255655,0.26635105,0.70905665
ant-1.7.csv,0.398976982,0.414138985,0.671759834,0.318369036,0.258372548,0.70305193
ant-1.7.csv,0.384695798,0.384554988,0.668628817,0.389011717,0.276454938,0.721551607
ant-1.7.csv,0.406749234,0.421797111,0.693112142,0.354905935,0.365685431,0.678208315
ant-1.7.csv,0.450981534,0.450595392,0.693456875,0.371093132,0.317519569,0.700271745
ant-1.7.csv,0.429404901,0.436602297,0.676358658,0.350657943,0.358491083,0.700386584
