"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",11.2222222222222,11.2222222222222,NA
"2",2,"BF",9.80555555555556,9.80555555555556,NA
"3",3,"HISNN,TNB",8.15277777777778,8.15277777777778,0.0589255650988794
"4",4,"TCAplus,DFAC,EASC",6.61111111111111,6.7037037037037,0.28912027770363
"5",5,"CFPS",5.97222222222222,5.97222222222222,NA
"6",6,"HSBF,DMDA.JFR",4.61111111111111,4.61111111111111,0.157134840263677
"7",7,"WiFLF",3.47222222222222,3.47222222222222,NA
"8",8,"BNaive,BTCAplus",2.68055555555556,2.68055555555556,0.176776695296637
