testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF
ant-1.7.csv,0.277108434,0.265060241,0.536144578,0.120481928,0.246987952,0.843373494
ant-1.7.csv,0.28313253,0.295180723,0.554216867,0.21686747,0.21686747,0.801204819
ant-1.7.csv,0.28313253,0.295180723,0.584337349,0.102409639,0.234939759,0.819277108
ant-1.7.csv,0.253012048,0.259036145,0.524096386,0.138554217,0.21686747,0.837349398
ant-1.7.csv,0.253012048,0.253012048,0.596385542,0.174698795,0.186746988,0.831325301
ant-1.7.csv,0.295180723,0.295180723,0.590361446,0.13253012,0.271084337,0.86746988
ant-1.7.csv,0.210843373,0.210843373,0.542168675,0.21686747,0.156626506,0.777108434
ant-1.7.csv,0.259036145,0.259036145,0.542168675,0.144578313,0.126506024,0.837349398
ant-1.7.csv,0.271084337,0.259036145,0.578313253,0.15060241,0.259036145,0.843373494
ant-1.7.csv,0.28313253,0.28313253,0.590361446,0.126506024,0.204819277,0.819277108
ant-1.7.csv,0.295180723,0.295180723,0.584337349,0.21686747,0.259036145,0.825301205
ant-1.7.csv,0.271084337,0.271084337,0.560240964,0.246987952,0.271084337,0.825301205
ant-1.7.csv,0.301204819,0.289156627,0.590361446,0.144578313,0.168674699,0.825301205
ant-1.7.csv,0.246987952,0.246987952,0.542168675,0.168674699,0.102409639,0.825301205
ant-1.7.csv,0.240963855,0.240963855,0.572289157,0.168674699,0.234939759,0.84939759
ant-1.7.csv,0.259036145,0.259036145,0.530120482,0.198795181,0.301204819,0.84939759
ant-1.7.csv,0.246987952,0.240963855,0.560240964,0.168674699,0.198795181,0.789156627
ant-1.7.csv,0.301204819,0.307228916,0.578313253,0.138554217,0.156626506,0.837349398
ant-1.7.csv,0.253012048,0.265060241,0.56626506,0.192771084,0.15060241,0.843373494
ant-1.7.csv,0.240963855,0.240963855,0.560240964,0.246987952,0.162650602,0.801204819
ant-1.7.csv,0.259036145,0.271084337,0.596385542,0.222891566,0.228915663,0.819277108
ant-1.7.csv,0.295180723,0.295180723,0.602409639,0.234939759,0.192771084,0.813253012
ant-1.7.csv,0.277108434,0.28313253,0.560240964,0.21686747,0.222891566,0.84939759
ant-1.7.csv,0.28313253,0.28313253,0.560240964,0.180722892,0.144578313,0.819277108
ant-1.7.csv,0.240963855,0.246987952,0.560240964,0.253012048,0.126506024,0.819277108
ant-1.7.csv,0.259036145,0.259036145,0.560240964,0.204819277,0.21686747,0.801204819
ant-1.7.csv,0.289156627,0.277108434,0.530120482,0.240963855,0.222891566,0.819277108
ant-1.7.csv,0.240963855,0.253012048,0.560240964,0.246987952,0.162650602,0.84939759
ant-1.7.csv,0.271084337,0.271084337,0.548192771,0.265060241,0.34939759,0.837349398
ant-1.7.csv,0.307228916,0.313253012,0.530120482,0.228915663,0.174698795,0.84939759
arc-1.csv,0.148148148,0.148148148,0.37037037,0.185185185,0.074074074,0.555555556
arc-1.csv,0.185185185,0.148148148,0.333333333,0.111111111,0.037037037,0.555555556
arc-1.csv,0.111111111,0.111111111,0.296296296,0.074074074,0.074074074,0.481481481
arc-1.csv,0.148148148,0.111111111,0.407407407,0.185185185,0.037037037,0.518518519
arc-1.csv,0.222222222,0.222222222,0.37037037,0.222222222,0.296296296,0.518518519
arc-1.csv,0.148148148,0.148148148,0.37037037,0.37037037,0.074074074,0.555555556
arc-1.csv,0.222222222,0.222222222,0.333333333,0.148148148,0.037037037,0.555555556
arc-1.csv,0.185185185,0.148148148,0.37037037,0.333333333,0.148148148,0.592592593
arc-1.csv,0.222222222,0.148148148,0.333333333,0.259259259,0.037037037,0.592592593
arc-1.csv,0.222222222,0.259259259,0.37037037,0.111111111,0.074074074,0.62962963
arc-1.csv,0.185185185,0.185185185,0.296296296,0.185185185,0,0.62962963
arc-1.csv,0.148148148,0.148148148,0.333333333,0.074074074,0,0.62962963
arc-1.csv,0.148148148,0.148148148,0.296296296,0.074074074,0.037037037,0.592592593
arc-1.csv,0.185185185,0.148148148,0.259259259,0.074074074,0.037037037,0.555555556
arc-1.csv,0.185185185,0.296296296,0.37037037,0.185185185,0.037037037,0.62962963
arc-1.csv,0.148148148,0.148148148,0.37037037,0.222222222,0.259259259,0.555555556
arc-1.csv,0.185185185,0.222222222,0.333333333,0.259259259,0.037037037,0.592592593
arc-1.csv,0.148148148,0.148148148,0.296296296,0.333333333,0.074074074,0.555555556
arc-1.csv,0.222222222,0.222222222,0.37037037,0.148148148,0.074074074,0.62962963
arc-1.csv,0.222222222,0.185185185,0.37037037,0.111111111,0.333333333,0.62962963
arc-1.csv,0.148148148,0.148148148,0.407407407,0,0.148148148,0.555555556
arc-1.csv,0.259259259,0.185185185,0.37037037,0.185185185,0.111111111,0.555555556
arc-1.csv,0.185185185,0.259259259,0.296296296,0.185185185,0.111111111,0.592592593
arc-1.csv,0.148148148,0.222222222,0.296296296,0.296296296,0.074074074,0.555555556
arc-1.csv,0.185185185,0.222222222,0.259259259,0.074074074,0.259259259,0.592592593
arc-1.csv,0.148148148,0.185185185,0.37037037,0.111111111,0.296296296,0.481481481
arc-1.csv,0.148148148,0.111111111,0.37037037,0.222222222,0.148148148,0.555555556
arc-1.csv,0.185185185,0.148148148,0.296296296,0.222222222,0.222222222,0.62962963
arc-1.csv,0.185185185,0.185185185,0.37037037,0.185185185,0.074074074,0.518518519
arc-1.csv,0.148148148,0.148148148,0.333333333,0.148148148,0.074074074,0.555555556
camel-1.6.csv,0.079787234,0.079787234,0.255319149,0.287234043,0.14893617,0.484042553
camel-1.6.csv,0.074468085,0.079787234,0.265957447,0.234042553,0.164893617,0.45212766
camel-1.6.csv,0.085106383,0.090425532,0.29787234,0.20212766,0.218085106,0.537234043
camel-1.6.csv,0.10106383,0.095744681,0.303191489,0.138297872,0.207446809,0.446808511
camel-1.6.csv,0.10106383,0.10106383,0.276595745,0.191489362,0.170212766,0.441489362
camel-1.6.csv,0.079787234,0.069148936,0.329787234,0.223404255,0.207446809,0.526595745
camel-1.6.csv,0.085106383,0.10106383,0.313829787,0.271276596,0.186170213,0.521276596
camel-1.6.csv,0.085106383,0.090425532,0.35106383,0.324468085,0.170212766,0.515957447
camel-1.6.csv,0.079787234,0.074468085,0.308510638,0.239361702,0.234042553,0.510638298
camel-1.6.csv,0.074468085,0.069148936,0.303191489,0.207446809,0.228723404,0.484042553
camel-1.6.csv,0.095744681,0.074468085,0.255319149,0.175531915,0.143617021,0.425531915
camel-1.6.csv,0.079787234,0.079787234,0.319148936,0.239361702,0.234042553,0.563829787
camel-1.6.csv,0.090425532,0.095744681,0.319148936,0.223404255,0.212765957,0.505319149
camel-1.6.csv,0.069148936,0.074468085,0.29787234,0.292553191,0.207446809,0.510638298
camel-1.6.csv,0.079787234,0.085106383,0.313829787,0.260638298,0.20212766,0.526595745
camel-1.6.csv,0.079787234,0.074468085,0.276595745,0.287234043,0.154255319,0.484042553
camel-1.6.csv,0.079787234,0.090425532,0.308510638,0.313829787,0.271276596,0.526595745
camel-1.6.csv,0.079787234,0.074468085,0.319148936,0.191489362,0.239361702,0.510638298
camel-1.6.csv,0.090425532,0.079787234,0.292553191,0.234042553,0.10106383,0.526595745
camel-1.6.csv,0.079787234,0.074468085,0.29787234,0.260638298,0.154255319,0.489361702
camel-1.6.csv,0.085106383,0.090425532,0.29787234,0.218085106,0.271276596,0.521276596
camel-1.6.csv,0.10106383,0.106382979,0.271276596,0.25,0.106382979,0.489361702
camel-1.6.csv,0.085106383,0.085106383,0.319148936,0.276595745,0.207446809,0.526595745
camel-1.6.csv,0.10106383,0.10106383,0.281914894,0.271276596,0.191489362,0.510638298
camel-1.6.csv,0.090425532,0.106382979,0.319148936,0.191489362,0.14893617,0.484042553
camel-1.6.csv,0.10106383,0.10106383,0.281914894,0.223404255,0.138297872,0.473404255
camel-1.6.csv,0.095744681,0.10106383,0.271276596,0.207446809,0.191489362,0.526595745
camel-1.6.csv,0.090425532,0.095744681,0.29787234,0.29787234,0.228723404,0.494680851
camel-1.6.csv,0.111702128,0.122340426,0.313829787,0.260638298,0.175531915,0.563829787
