testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
ant-1.7.csv,0.058721934,0.058721934,0.069084629,0.347150259,0.329879102,0.502590674
ant-1.7.csv,0.055267703,0.055267703,0.069084629,0.392055268,0.411053541,0.461139896
ant-1.7.csv,0.055267703,0.055267703,0.075993092,0.341968912,0.386873921,0.481865285
ant-1.7.csv,0.051813472,0.051813472,0.067357513,0.378238342,0.355785838,0.469775475
ant-1.7.csv,0.051813472,0.051813472,0.069084629,0.324697755,0.354058722,0.499136442
ant-1.7.csv,0.053540587,0.053540587,0.069084629,0.319516408,0.30224525,0.493955095
ant-1.7.csv,0.051813472,0.051813472,0.079447323,0.400690846,0.312607945,0.457685665
ant-1.7.csv,0.055267703,0.055267703,0.067357513,0.400690846,0.335060449,0.488773748
ant-1.7.csv,0.055267703,0.055267703,0.081174439,0.421416235,0.411053541,0.476683938
ant-1.7.csv,0.055267703,0.055267703,0.067357513,0.310880829,0.471502591,0.488773748
ant-1.7.csv,0.056994819,0.056994819,0.07253886,0.303972366,0.322970639,0.502590674
ant-1.7.csv,0.058721934,0.058721934,0.079447323,0.30224525,0.414507772,0.474956822
ant-1.7.csv,0.056994819,0.056994819,0.079447323,0.390328152,0.417962003,0.473229706
ant-1.7.csv,0.058721934,0.058721934,0.081174439,0.376511226,0.449050086,0.485319516
ant-1.7.csv,0.055267703,0.055267703,0.067357513,0.336787565,0.364421416,0.483592401
ant-1.7.csv,0.055267703,0.055267703,0.086355786,0.400690846,0.462867012,0.412780656
ant-1.7.csv,0.06044905,0.062176166,0.079447323,0.383419689,0.343696028,0.521588946
ant-1.7.csv,0.056994819,0.056994819,0.075993092,0.373056995,0.362694301,0.499136442
ant-1.7.csv,0.055267703,0.055267703,0.067357513,0.395509499,0.343696028,0.471502591
ant-1.7.csv,0.062176166,0.062176166,0.086355786,0.381692573,0.405872193,0.461139896
ant-1.7.csv,0.055267703,0.055267703,0.069084629,0.390328152,0.357512953,0.521588946
ant-1.7.csv,0.053540587,0.051813472,0.07253886,0.329879102,0.354058722,0.478411054
ant-1.7.csv,0.055267703,0.055267703,0.063903282,0.322970639,0.316062176,0.457685665
ant-1.7.csv,0.056994819,0.056994819,0.069084629,0.352331606,0.348877375,0.469775475
ant-1.7.csv,0.055267703,0.055267703,0.067357513,0.352331606,0.417962003,0.447322971
ant-1.7.csv,0.056994819,0.056994819,0.070811744,0.310880829,0.398963731,0.462867012
ant-1.7.csv,0.055267703,0.055267703,0.08462867,0.442141623,0.431778929,0.485319516
ant-1.7.csv,0.056994819,0.056994819,0.074265976,0.316062176,0.457685665,0.428324698
ant-1.7.csv,0.055267703,0.055267703,0.07253886,0.376511226,0.373056995,0.492227979
ant-1.7.csv,0.056994819,0.056994819,0.081174439,0.357512953,0.438687392,0.504317789
arc-1.csv,0.048309179,0.048309179,0.053140097,0.29468599,0.256038647,0.342995169
arc-1.csv,0.043478261,0.043478261,0.057971014,0.338164251,0.362318841,0.352657005
arc-1.csv,0.048309179,0.048309179,0.057971014,0.260869565,0.246376812,0.347826087
arc-1.csv,0.048309179,0.048309179,0.057971014,0.29468599,0.270531401,0.357487923
arc-1.csv,0.048309179,0.048309179,0.057971014,0.338164251,0.29468599,0.352657005
arc-1.csv,0.048309179,0.048309179,0.057971014,0.357487923,0.285024155,0.338164251
arc-1.csv,0.048309179,0.048309179,0.057971014,0.29468599,0.285024155,0.352657005
arc-1.csv,0.048309179,0.048309179,0.048309179,0.309178744,0.265700483,0.314009662
arc-1.csv,0.048309179,0.048309179,0.057971014,0.29468599,0.314009662,0.352657005
arc-1.csv,0.048309179,0.048309179,0.057971014,0.260869565,0.260869565,0.352657005
arc-1.csv,0.048309179,0.048309179,0.048309179,0.289855072,0.29468599,0.323671498
arc-1.csv,0.048309179,0.048309179,0.057971014,0.304347826,0.415458937,0.342995169
arc-1.csv,0.048309179,0.048309179,0.053140097,0.338164251,0.285024155,0.342995169
arc-1.csv,0.048309179,0.048309179,0.057971014,0.299516908,0.251207729,0.357487923
arc-1.csv,0.048309179,0.048309179,0.053140097,0.342995169,0.338164251,0.381642512
arc-1.csv,0.048309179,0.048309179,0.057971014,0.280193237,0.304347826,0.357487923
arc-1.csv,0.048309179,0.048309179,0.048309179,0.275362319,0.246376812,0.328502415
arc-1.csv,0.048309179,0.048309179,0.057971014,0.342995169,0.309178744,0.367149758
arc-1.csv,0.048309179,0.048309179,0.053140097,0.246376812,0.314009662,0.352657005
arc-1.csv,0.048309179,0.048309179,0.057971014,0.29468599,0.260869565,0.347826087
