clfindex,alpha,numtree,subsamplesize,G-Measure,PD,PF,skewed_F
2,0.2,90,32,60.06%,56.73%,23.25%,43.44%
2,0.2,100,32,60.10%,57.25%,24.09%,43.56%
2,0.2,110,32,60.57%,57.61%,23.55%,44.02%
2,0.2,120,32,60.43%,57.43%,23.85%,43.76%
2,0.2,10,64,59.72%,56.11%,22.71%,43.13%
2,0.2,20,64,59.47%,56.43%,23.21%,43.06%
2,0.2,30,64,59.52%,55.61%,22.05%,42.96%
2,0.2,40,64,60.36%,56.79%,22.69%,43.61%
2,0.2,50,64,60.04%,57.04%,23.21%,43.56%
2,0.2,60,64,60.28%,56.93%,22.98%,43.63%
2,0.2,70,64,59.88%,56.10%,22.70%,43.13%
2,0.2,80,64,59.41%,55.53%,22.40%,42.81%
2,0.2,90,64,59.49%,56.04%,22.79%,43.01%
2,0.2,100,64,59.77%,56.45%,23.11%,43.26%
2,0.2,110,64,59.33%,55.94%,23.25%,42.85%
2,0.2,120,64,59.90%,56.15%,22.70%,43.06%
2,0.2,10,128,58.16%,53.67%,21.73%,41.57%
2,0.2,20,128,58.96%,54.36%,21.61%,42.18%
2,0.2,30,128,59.43%,55.04%,21.82%,42.62%
2,0.2,40,128,59.26%,54.97%,22.01%,42.50%
2,0.2,50,128,59.21%,54.46%,21.83%,42.38%
2,0.2,60,128,58.70%,54.53%,22.00%,42.04%
2,0.2,70,128,59.37%,55.42%,22.40%,42.81%
2,0.2,80,128,59.05%,54.16%,21.50%,42.22%
2,0.2,90,128,59.31%,54.53%,21.89%,42.44%
2,0.2,100,128,58.51%,54.13%,22.05%,41.85%
2,0.2,110,128,59.14%,55.08%,22.08%,42.59%
2,0.2,120,128,59.84%,55.58%,22.03%,43.10%
2,0.2,10,256,58.04%,53.26%,21.85%,41.34%
2,0.2,20,256,58.00%,52.71%,21.08%,41.28%
2,0.2,30,256,59.31%,54.22%,20.79%,42.52%
2,0.2,40,256,57.71%,52.71%,21.19%,41.15%
2,0.2,50,256,58.54%,54.32%,21.83%,41.98%
2,0.2,60,256,58.50%,54.27%,22.13%,41.80%
2,0.2,70,256,58.44%,53.64%,21.44%,41.74%
2,0.2,80,256,58.79%,54.02%,21.38%,41.98%
2,0.2,90,256,58.24%,53.35%,21.55%,41.51%
2,0.2,100,256,58.45%,53.46%,21.36%,41.72%
2,0.2,110,256,58.85%,54.33%,21.59%,42.13%
2,0.2,120,256,58.99%,53.96%,20.95%,42.23%
2,0.2,10,512,57.35%,52.09%,21.05%,40.60%
2,0.2,20,512,57.04%,52.39%,21.96%,40.47%
2,0.2,30,512,57.87%,52.82%,21.18%,41.20%
2,0.2,40,512,58.60%,53.45%,21.13%,41.68%
2,0.2,50,512,58.01%,53.14%,21.51%,41.35%
2,0.2,60,512,57.43%,52.22%,20.90%,40.84%
2,0.2,70,512,57.83%,53.44%,21.96%,41.38%
2,0.2,80,512,57.96%,52.83%,21.07%,41.17%
2,0.2,90,512,57.27%,52.18%,21.34%,40.60%
2,0.2,100,512,58.59%,53.47%,21.31%,41.68%
2,0.2,110,512,58.13%,53.15%,21.88%,41.36%
2,0.2,120,512,57.36%,52.20%,21.30%,40.50%
2,0.3,10,16,63.06%,62.46%,26.18%,47.04%
2,0.3,20,16,62.67%,62.21%,26.47%,46.70%
2,0.3,30,16,63.51%,63.61%,26.82%,47.66%
2,0.3,40,16,63.00%,61.62%,25.67%,46.69%
2,0.3,50,16,63.02%,62.48%,26.55%,46.97%
2,0.3,60,16,62.61%,62.24%,26.82%,46.61%
2,0.3,70,16,62.90%,62.28%,26.62%,46.78%
2,0.3,80,16,63.10%,62.05%,25.95%,46.89%
2,0.3,90,16,62.98%,62.58%,26.74%,46.96%
2,0.3,100,16,62.64%,61.91%,26.40%,46.53%
2,0.3,110,16,63.21%,62.75%,26.66%,47.26%
2,0.3,120,16,62.27%,61.55%,26.05%,46.26%
2,0.3,10,32,62.73%,61.40%,25.51%,46.45%
2,0.3,20,32,62.90%,60.99%,25.27%,46.57%
