"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",10.3055555555556,10.3055555555556,NA
"2",2,"DMDA.JFR,HISNN",7.80555555555556,7.80555555555556,0.0392837100659192
"3",3,"HSBF,EASC,DFAC",6.63888888888889,6.67592592592593,0.197072191238822
"4",4,"TNB,BF",6.20833333333333,6.20833333333333,0.137492985230718
"5",5,"TCAplus",5.5,5.5,NA
"6",6,"CFPS",4.94444444444444,4.94444444444444,NA
"7",7,"BTCAplus",2.97222222222222,2.97222222222222,NA
"8",8,"BNaive",2.08333333333333,2.08333333333333,NA
"9",9,"WiFLF",1.72222222222222,1.72222222222222,NA
