"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",10.3333333333333,10.3333333333333,NA
"2",2,"HISNN,DMDA.JFR",7.875,7.875,0.0589255650988794
"3",3,"EASC,DFAC,HSBF",6.61111111111111,6.63888888888889,0.100154202096222
"4",4,"TNB,BF",6.20833333333333,6.20833333333333,0.0196418550329596
"5",5,"CFPS,TCAplus",4.95833333333333,4.95833333333333,0.176776695296637
"6",6,"BTCAplus",3.22222222222222,3.22222222222222,NA
"7",7,"BNaive",2.55555555555556,2.55555555555556,NA
"8",8,"WiFLF",1.5,1.5,NA
