"","OverallRank","models","MedianRank","AverageRank","StandardDeviation"
"1",1,"BTNB",11,11,NA
"2",2,"DMDA.JFR",9.27777777777778,9.27777777777778,NA
"3",3,"HISNN",7.94444444444444,7.94444444444444,NA
"4",4,"TCAplus,DFAC,EASC",7.30555555555556,7.35185185185185,0.131272656284795
"5",5,"HSBF,TNB",6.18055555555556,6.18055555555556,0.0196418550329596
"6",6,"BF,CFPS",5.65277777777778,5.65277777777778,0.0196418550329596
"7",7,"BNaive,WiFLF",2.83333333333333,2.83333333333333,0.117851130197758
"8",8,"BTCAplus",2.02777777777778,2.02777777777778,NA
