,BF_NB-p,BF_NB-d,BF_NB-esl,BNaive_NB-p,BNaive_NB-d,BNaive_NB-esl,BTCAplus_NB-p,BTCAplus_NB-d,BTCAplus_NB-esl,BTNB_NB-p,BTNB_NB-d,BTNB_NB-esl,CFPS_NB-p,CFPS_NB-d,CFPS_NB-esl,DFAC_NB-p,DFAC_NB-d,DFAC_NB-esl,DMDA-JFR_NB-p,DMDA-JFR_NB-d,DMDA-JFR_NB-esl,EASC_NB-p,EASC_NB-d,EASC_NB-esl,HISNN_NB-p,HISNN_NB-d,HISNN_NB-esl,HSBF_NB-p,HSBF_NB-d,HSBF_NB-esl,TCAplus_NB-p,TCAplus_NB-d,TCAplus_NB-esl,TNB_NB-p,TNB_NB-d,TNB_NB-esl
xalan-2.6,0,79.16,L,0,21.85,L,0,27.8,L,0,84.49,L,0,12.21,L,0,7.94,L,0,10.27,L,0,7.74,L,0,26.16,L,0,27.3,L,0,10.18,L,0,35.44,L
xerces-1.3,0,22.28,L,0,4.6,L,0,1.59,L,0,25.35,L,0,9.43,L,0,11.13,L,0,7.75,L,0,10.51,L,0,12.46,L,0,10.13,L,0.72,0.18,N,0,13.24,L
EQ,0,6.33,L,0,21.15,L,0,13.46,L,0,71,L,0,40.5,L,0,36.34,L,0,12.31,L,0,38.36,L,0,37.91,L,0,28.01,L,0,31.48,L,0,28.74,L
JDT,0,12.92,L,0.01,-0.82,L,0,-2.08,L,0,18.63,L,0,-1.17,L,0,-1.47,L,0,-0.83,L,0,-1.49,L,0,4.25,L,0.67,-0.29,S,0.04,0.52,M,0,1.75,L
LC,0,16.42,L,0,2.1,L,0.02,-0.67,M,0,47.21,L,0,-1.75,L,0,8.51,L,0,-1.62,L,0,11.15,L,0,16.17,L,0,-2.91,L,0,6.33,L,0,9.69,L
ML,0.01,-0.06,N,0,7.26,L,0,-1.33,L,0,109.77,L,0,-1.44,L,0,1.02,L,0,0.86,L,0,9.46,L,0,19.24,L,0.1,-0.51,M,0,1.14,L,0,11.2,L
PDE,0,4.88,L,0,12.01,L,0,3.16,L,0,191.96,L,0,37.26,L,0,45.21,L,0,8.01,L,0,35.1,L,0,34.91,L,0,19.8,L,0,191.96,L,0,19.04,L
Apache,0,83,L,0,3.44,L,0,1.62,L,0,14.74,L,0,3.37,L,0,4.34,L,0.6,-0.08,N,0,4.37,L,0,7.38,L,0,4.75,L,0.02,0.68,M,0.01,0.76,M
Safe,0,3.02,L,0,3.28,L,0,4.34,L,0,51.28,L,0,4.97,L,0,9.73,L,0,7.23,L,0,7.08,L,0,11.01,L,0,4.28,L,0,3.16,L,0,4.36,L
Zxing,0.1,-0.56,M,0.67,0.1,N,0,3.37,L,0,4.69,L,0,1.68,L,0,1.76,L,0,3.01,L,0,1.01,L,0,0.99,L,0.86,0.04,N,0,-9.52,L,0,1.57,L
